NelderMead,NewtonTR,BFGSWolfe,GA,PSO,
110.145,117.615,167950,114.058,126.785,
110.052,131.598,2.45236e+06,118.398,110.052,
129.339,142.856,193007,113.94,121.604,
110.059,124.948,18236.9,113.42,121.604,
134.55,135.382,125.565,111.958,126.69,
126.69,110.172,241.346,119.512,110.234,
110.187,116.722,191.691,116.96,110.052,
110.134,117.893,337474,112.942,110.052,
110.052,133.953,74295.2,111.707,110.052,
124.942,126.175,1.09614e+06,115.111,110.052,
130.369,120.615,900.747,112.488,110.052,
110.205,132.416,41798,116.434,110.052,
111.155,124.605,5985.6,112.183,110.052,
110.184,137.34,188.762,120.237,132.713,
110.052,127.981,254.508,122.134,110.052,
110.154,112.915,609684,112.92,110.052,
110.059,119.336,1.46531e+06,116.886,133.461,
126.691,113.403,814.665,111.574,110.052,
110.187,233.109,72634.6,118.249,130.743,
110.085,119.508,25793.3,116.865,110.052,
110.167,117.573,2.10653e+06,117.85,110.052,
148.106,118.418,155.995,115.258,110.052,
139.909,123.938,2.12779e+06,115.573,110.052,
110.052,138.239,641328,119.616,110.052,
110.052,114.076,527011,112.796,110.052,
110.055,131.674,163.553,113.414,110.052,
110.052,122.862,8621.45,110.794,121.604,
110.119,113.521,161.767,117.267,110.052,
110.234,123.47,3333.63,113.273,110.052,
110.234,119.447,282986,125.243,110.052,
