NelderMead,NewtonTR,BFGSWolfe,GA,PSO,
110.052,131.273,131.595,114.355,121.604,
110.087,137.68,191.744,115.073,110.052,
110.125,137.122,492371,115.426,110.234,
110.12,112.755,140.207,115.224,110.052,
110.052,125.993,194.653,115.27,110.052,
110.682,135.48,5.87641e+06,116.81,110.052,
110.062,122.641,210556,119.105,110.052,
134.614,112.58,136.099,114.693,110.052,
110.052,125.233,11868.5,121.713,110.052,
110.112,130.967,2.70904e+06,114.235,110.052,
110.09,122.178,9.99785e+06,115.867,110.052,
110.145,117.83,143.556,113.95,110.052,
129.827,156.007,314.904,118.883,110.052,
142.249,117.303,6492.04,119.6,110.052,
110.233,110.076,134.975,112.714,110.052,
126.743,122.735,120.986,119.703,110.052,
110.164,127.114,9.99785e+06,120.776,110.052,
110.067,119.82,244.451,119.528,110.052,
110.052,154.197,181.856,125.432,110.234,
126.69,110.136,2.5569e+06,113.878,133.461,
110.094,110.055,1.00736e+07,118.642,110.052,
110.234,126.551,372.489,113.368,110.052,
130.115,150.898,183.698,126.964,133.461,
111.144,120.183,9.92412e+06,115.307,110.052,
110.135,113.618,132.037,111.459,110.052,
110.052,112.818,1101.71,116.223,110.052,
110.052,121.402,118.444,115.056,110.052,
121.604,128.751,5.96867e+06,116.98,110.234,
110.067,113.415,131.792,111.285,110.052,
110.234,110.065,281.687,123.331,110.052,
